Parameter,MSE,MAE,RMSE,R²,R
Overall,0.05625932291150093,0.15274852514266968,0.2371904781214898,0.34321129322052,0.5858423791605725
xCount,0.003524599364027381,0.049422699958086014,0.059368336375776785,0.47681063413619995,0.6905147602594748
yCount,0.003538114484399557,0.04958654195070267,0.05948205178370663,0.4679943323135376,0.6841011126387221
Degree,0.006791067775338888,0.06540589034557343,0.08240793514789027,0.09569048881530762,0.3093387929363332
Lumen,0.01731349155306816,0.09922691434621811,0.1315807415736367,0.552882969379425,0.7435610058222695
Rotation,0.250129371881485,0.5001005530357361,0.5001293551487305,-0.0005182027816772461,0.0
