Parameter,MSE,MAE,RMSE,R²,R
Overall,0.00793380942195654,0.07057664543390274,0.08907193397449356,0.8505501747131348,0.9222527715941735
xCount,0.0032447336707264185,0.04686996713280678,0.056962563765392604,0.5128567218780518,0.7161401551917416
yCount,0.0032840650528669357,0.04729492962360382,0.05730676271494435,0.5145794153213501,0.7173419096367855
Degree,0.014673135243356228,0.1062391996383667,0.12113271747697328,0.29255664348602295,0.5408850557059447
Lumen,0.010533302091062069,0.08190248161554337,0.10263187658355502,0.1945207715034485,0.44104509010241627
