Parameter,MSE,MAE,RMSE,R²,R
Overall,0.05691590532660484,0.153273344039917,0.2385705458069056,0.4829390048980713,0.6949381302663362
xCount,0.0035493283066898584,0.049686070531606674,0.059576239447365745,0.4731399416923523,0.687851685825042
yCount,0.003610095242038369,0.049979329109191895,0.06008406812157753,0.4571710228919983,0.676144232314377
Degree,0.007085935678333044,0.05411573499441147,0.08417799996633944,0.29909175634384155,0.546892819795471
Lumen,0.02034558542072773,0.11264524608850479,0.14263795224528333,0.4775391221046448,0.6910420552358914
Rotation,0.2499885857105255,0.49994030594825745,0.4999885855802365,4.494190216064453e-05,0.00670387217663378
