Parameter,MSE,MAE,RMSE,R²,R
Overall,0.007427939213812351,0.06767154484987259,0.08618549305893859,0.860079288482666,0.9274045980491287
xCount,0.003119066124781966,0.04593925550580025,0.05584860002526443,0.5317236185073853,0.7291938140901809
yCount,0.003147395560517907,0.046256501227617264,0.05610165381268102,0.5347806215286255,0.7312869625042043
Degree,0.013403236865997314,0.09913327544927597,0.11577234931535818,0.35378289222717285,0.5947965132943979
Lumen,0.010042061097919941,0.07935712486505508,0.10021008481145967,0.23208588361740112,0.4817529279801018
