Parameter,MSE,MAE,RMSE,R²,R
Overall,0.0076614669524133205,0.06893789023160934,0.08752980608006235,0.8556802868843079,0.9250298843195867
xCount,0.00317104603163898,0.045931681990623474,0.056312041622009944,0.5239197015762329,0.7238229766843776
yCount,0.003188915317878127,0.04632549732923508,0.05647048182792606,0.5286435484886169,0.7270787773608971
Degree,0.01398390345275402,0.1028689444065094,0.11825355577213745,0.3257869482040405,0.5707774944792765
Lumen,0.010302004404366016,0.08062544465065002,0.10149879016208034,0.21220803260803223,0.4606604309120029
