Parameter,MSE,MAE,RMSE,R²,R
Overall,0.05577212572097778,0.15087191760540009,0.2361612282339711,0.3488990068435669,0.5906767363317832
xCount,0.0033741805236786604,0.04807494208216667,0.05808769683572125,0.4991387724876404,0.7064975389112409
yCount,0.0033661085180938244,0.047985006123781204,0.058018174032744466,0.49385786056518555,0.7027502120705376
Degree,0.006496408022940159,0.06371752172708511,0.0806002979085075,0.1349278688430786,0.3673252902307145
Lumen,0.016248850151896477,0.09547018259763718,0.12747097768471252,0.5803771018981934,0.7618248498823029
Rotation,0.249375119805336,0.49911198019981384,0.4993747288413141,0.002498805522918701,0.04998805380207056
