Parameter,MSE,MAE,RMSE,R²,R
Overall,0.007376260124146938,0.0673050805926323,0.08588515659965311,0.8610527515411377,0.9279292815409683
xCount,0.0030908880289644003,0.045396845787763596,0.05559575549414182,0.5359541177749634,0.7320888728665144
yCount,0.003135320032015443,0.0458894707262516,0.05599392852814886,0.5365655422210693,0.7325063427855553
Degree,0.013281090185046196,0.09875280410051346,0.11524361233945331,0.35967200994491577,0.5997266126702364
Lumen,0.00999773945659399,0.07918117940425873,0.09998869664414069,0.23547512292861938,0.4852577901781891
