Parameter,MSE,MAE,RMSE,R²,R
Overall,0.006785968318581581,0.062446288764476776,0.08237698901138339,0.6577205657958984,0.8109997323032224
xCount,0.004019776359200478,0.05439266189932823,0.06340170627988238,0.25104039907455444,0.5010393188907977
yCount,0.004099980928003788,0.054927922785282135,0.06403109344688554,0.24675649404525757,0.49674590491040543
Degree,0.007213305681943893,0.06293176859617233,0.08493118203548031,0.7880462408065796,0.8877196859406575
Lumen,0.011810810305178165,0.0775328129529953,0.10867755198373842,0.5430729985237122,0.7369348672194254
