Parameter,MSE,MAE,RMSE,R²,R
Overall,0.05697059631347656,0.15345536172389984,0.23868514053764756,0.48244214057922363,0.6945805501014434
xCount,0.003548962762579322,0.04965968802571297,0.05957317150009157,0.4731941819190979,0.6878911119640214
yCount,0.0036233942955732346,0.050126004964113235,0.06019463676751638,0.45517128705978394,0.6746638326305805
Degree,0.00711457384750247,0.054158374667167664,0.08434793327345057,0.29625898599624634,0.5442967811738797
Lumen,0.020524293184280396,0.11332595348358154,0.14326302099383637,0.4729500412940979,0.6877136332036016
Rotation,0.25004178285598755,0.5000067949295044,0.5000417811103264,-0.0001678466796875,0.0
