Parameter,MSE,MAE,RMSE,R²,R
Overall,0.05582553520798683,0.15107403695583344,0.23627427961584568,0.34827548265457153,0.5901486953764886
xCount,0.0033801188692450523,0.04816929250955582,0.05813878971259251,0.49825727939605713,0.7058734159862213
yCount,0.0033860665280371904,0.04829433187842369,0.05818991775245253,0.4908568859100342,0.7006117940129428
Degree,0.0064973109401762486,0.06381813436746597,0.08060589891674336,0.13480758666992188,0.3671615266744623
Lumen,0.016250798478722572,0.09561125934123993,0.12747861969256874,0.5803267955780029,0.7617918321812087
Rotation,0.24961334466934204,0.49947717785835266,0.49961319505127366,0.0015458464622497559,0.039317254001897894
