Parameter,MSE,MAE,RMSE,R²,R
Overall,0.05717539042234421,0.15410581231117249,0.23911376042031585,0.4805816411972046,0.6932399593194297
xCount,0.0035755953285843134,0.049349457025527954,0.05979628189598676,0.46924084424972534,0.685011565048157
yCount,0.0036417972296476364,0.04984664544463158,0.06034730507361233,0.4524042010307312,0.6726099917714062
Degree,0.007237735204398632,0.05465884506702423,0.08507487998462668,0.2840765118598938,0.5329882849180588
Lumen,0.021351264789700508,0.1166798323392868,0.14612071991918363,0.4517139792442322,0.6720967037891439
Rotation,0.25007057189941406,0.4999943673610687,0.500070566919724,-0.0002830028533935547,0.0
