Parameter,MSE,MAE,RMSE,R²,R
Overall,0.056979816406965256,0.15370357036590576,0.23870445409955227,0.4823583960533142,0.6945202632416957
xCount,0.0035954825580120087,0.050279151648283005,0.0599623428329148,0.46628880500793457,0.6828534286418533
yCount,0.003663556883111596,0.05068504437804222,0.06052732344248832,0.4491323232650757,0.6701733531445992
Degree,0.007118637207895517,0.05410096049308777,0.08437201673478902,0.2958570718765259,0.5439274509312119
Lumen,0.020591778680682182,0.11357416212558746,0.14349835776301478,0.4712170362472534,0.6864525010860208
Rotation,0.24992966651916504,0.49987852573394775,0.4999296615716705,0.00028055906295776367,0.016749897401410065
