Parameter,MSE,MAE,RMSE,R²,R
Overall,0.006976308301091194,0.06330657005310059,0.08352429766894896,0.6481199264526367,0.8050589583705262
xCount,0.004048474133014679,0.054428182542324066,0.0636276208341525,0.24569344520568848,0.49567473730833655
yCount,0.0041331518441438675,0.05512910708785057,0.06428959359137268,0.24066239595413208,0.4905735377638424
Degree,0.007470231503248215,0.06408072263002396,0.08643050100079377,0.7804968357086182,0.8834573196870453
Lumen,0.01225337479263544,0.07958825677633286,0.11069496281509579,0.5259513854980469,0.7252250585149735
