Parameter,MSE,MAE,RMSE,R²,R
Overall,0.057124655693769455,0.154107004404068,0.23900764777255445,0.4810425639152527,0.6935723206092157
xCount,0.0035649482160806656,0.04934946075081825,0.0597071873067277,0.4708213210105896,0.6861642084884562
yCount,0.0036350565496832132,0.04990554228425026,0.06029143015125129,0.45341771841049194,0.6733629915658359
Degree,0.007214037235826254,0.054790206253528595,0.08493548867126305,0.2864205837249756,0.5351827573128413
Lumen,0.02122657001018524,0.11654873192310333,0.14569341100470276,0.4549160599708557,0.674474654802429
Rotation,0.24998266994953156,0.49994105100631714,0.49998266964919047,6.854534149169922e-05,0.008279211405182212
