Parameter,MSE,MAE,RMSE,R²,R
Overall,0.0560787133872509,0.15161411464214325,0.23680944530835527,0.34531980752944946,0.5876391814110504
xCount,0.0034131945576518774,0.04808979108929634,0.058422551789971286,0.49334752559661865,0.7023870198093204
yCount,0.003410449717193842,0.04800298437476158,0.0583990557902595,0.4871905446052551,0.6979903613985333
Degree,0.006570379715412855,0.0639786496758461,0.08105787879912017,0.12507766485214233,0.35366320822520164
Lumen,0.016946563497185707,0.09797695279121399,0.13017896718435626,0.5623588562011719,0.7499058982306859
Rotation,0.2500529885292053,0.5000222325325012,0.5000529857217186,-0.00021266937255859375,0.0
