Parameter,MSE,MAE,RMSE,R²,R
Overall,0.006746513769030571,0.06217367202043533,0.08213716435956729,0.6597106456756592,0.8122257356644513
xCount,0.0040074302814900875,0.054267268627882004,0.06330426748245403,0.2533407211303711,0.5033296346633795
yCount,0.004086464177817106,0.05476294457912445,0.06392545797893909,0.24923980236053467,0.4992392235797731
Degree,0.007132433820515871,0.06239011138677597,0.0844537377533752,0.7904225587844849,0.8890571178414156
Lumen,0.011759727261960506,0.07727435231208801,0.10844227617474887,0.545049250125885,0.738274508652361
