Parameter,MSE,MAE,RMSE,R²,R
Overall,0.007857875898480415,0.07017449289560318,0.08864466085715719,0.8519805073738098,0.9230279017309335
xCount,0.0032216638792306185,0.04659515619277954,0.056759702952276087,0.5163202881813049,0.7185543042674679
yCount,0.0032749485690146685,0.04708944633603096,0.05722716635492857,0.5159268975257874,0.7182805145107218
Degree,0.01448427326977253,0.1056395173072815,0.12035062637881254,0.3016623258590698,0.5492379501264182
Lumen,0.010450613684952259,0.08137385547161102,0.10222824308845506,0.20084387063980103,0.448156078436744
