Parameter,MSE,MAE,RMSE,R²,R
Overall,0.007003663573414087,0.06325119733810425,0.08368789382828372,0.6467401385307312,0.804201553424719
xCount,0.00405424227938056,0.054167188704013824,0.06367293207777194,0.2446187138557434,0.4945894396929067
yCount,0.004141384270042181,0.054726455360651016,0.0643535878567946,0.23914992809295654,0.4890295779326201
Degree,0.007559301797300577,0.0651162639260292,0.08694424533746081,0.7778795957565308,0.8819748271671538
Lumen,0.012259728275239468,0.07899487763643265,0.11072365725191463,0.5257055759429932,0.7250555674863777
