Parameter,MSE,MAE,RMSE,R²,R
Overall,0.05586766451597214,0.15120775997638702,0.23636341619627207,0.347783625125885,0.589731824752476
xCount,0.0034082354977726936,0.04841521009802818,0.05838009504765039,0.4940836429595947,0.702910835710757
yCount,0.003402531612664461,0.04827050864696503,0.05833122330848601,0.48838114738464355,0.6988427200627073
Degree,0.006547911092638969,0.06413239240646362,0.08091916393932261,0.12806957960128784,0.35786810363776184
Lumen,0.016338331624865532,0.09572987258434296,0.12782148342460092,0.5780662894248962,0.7603067074706734
Rotation,0.24964135885238647,0.4994908571243286,0.4996412301365716,0.0014338493347167969,0.03786620306707284
