Parameter,MSE,MAE,RMSE,R²,R
Overall,0.05696839094161987,0.15347635746002197,0.23868052065809617,0.48246216773986816,0.6945949666819277
xCount,0.0035641915164887905,0.04989666864275932,0.05970085021579501,0.47093361616134644,0.6862460318000727
yCount,0.0036189407110214233,0.0500774085521698,0.06015763219261063,0.45584094524383545,0.6751599404910184
Degree,0.0071178399957716465,0.05471326410770416,0.08436729221547677,0.2959359288215637,0.5439999345786392
Lumen,0.020519781857728958,0.11271017789840698,0.14324727521921302,0.47306591272354126,0.6877978719969562
Rotation,0.25002118945121765,0.4999843239784241,0.5000211890022438,-8.547306060791016e-05,0.0
