Parameter,MSE,MAE,RMSE,R²,R
Overall,0.055886488407850266,0.15158626437187195,0.23640323265101573,0.3475639224052429,0.5895455219109402
xCount,0.0034285748843103647,0.04896783456206322,0.0585540338858935,0.49106448888778687,0.7007599367028532
yCount,0.0034324987791478634,0.04894351586699486,0.05858753091868494,0.4838751554489136,0.6956113537377848
Degree,0.006565629038959742,0.06443065404891968,0.0810285692762728,0.12571030855178833,0.3545564955712817
Lumen,0.01640237867832184,0.09613700211048126,0.12807177159047126,0.5764122605323792,0.7592181903329103
Rotation,0.24960336089134216,0.4994523823261261,0.4996032034438352,0.0015857815742492676,0.03982187306304498
