Parameter,MSE,MAE,RMSE,R²,R
Overall,0.0560971274971962,0.15181413292884827,0.23684832171074424,0.34510481357574463,0.5874562226887589
xCount,0.0034456728026270866,0.04839041829109192,0.058699853514528354,0.48852646350860596,0.6989466814490258
yCount,0.00344077218323946,0.04829026758670807,0.05865809563256772,0.4826311469078064,0.6947165946685068
Degree,0.006620992440730333,0.06431495398283005,0.0813694810154909,0.11833798885345459,0.34400289076322393
Lumen,0.01691913604736328,0.09807215631008148,0.13007357935938904,0.5630671977996826,0.7503780365920119
Rotation,0.25005903840065,0.5000028610229492,0.5000590349155287,-0.00023686885833740234,0.0
