Parameter,MSE,MAE,RMSE,R²,R
Overall,0.006756404880434275,0.06211712211370468,0.0821973532447017,0.6592116951942444,0.8119185274362474
xCount,0.0040087164379656315,0.05422600731253624,0.06331442519651925,0.25310105085372925,0.5030914935215356
yCount,0.004090313334017992,0.05477451533079147,0.06395555749126101,0.24853259325027466,0.498530433624944
Degree,0.007159852888435125,0.06247900053858757,0.08461591391951709,0.7896168828010559,0.8886038953330421
Lumen,0.011766738258302212,0.07698894292116165,0.10847459729495294,0.5447779893875122,0.738090773135332
