Parameter,MSE,MAE,RMSE,R²,R
Overall,0.0076874843798577785,0.06879599392414093,0.08767830050735347,0.8551902174949646,0.9247649525663073
xCount,0.003169125644490123,0.046123333275318146,0.056294987738608866,0.5242080688476562,0.7240221466555123
yCount,0.0032064905390143394,0.04628930240869522,0.056625882236079464,0.5260457396507263,0.7252901072334617
Degree,0.014047808945178986,0.10222191363573074,0.11852345314400431,0.32270580530166626,0.5680720071449272
Lumen,0.010326511226594448,0.08054941892623901,0.10161944315235372,0.21033400297164917,0.4586218518252801
