Parameter,MSE,MAE,RMSE,R²,R
Overall,0.006807687692344189,0.06267529726028442,0.08250871282685356,0.6566250324249268,0.8103240292777494
xCount,0.004031864460557699,0.05459265410900116,0.06349696418379148,0.24878817796707153,0.4987867058844607
yCount,0.004118328448385,0.05518687143921852,0.06417420391703352,0.24338573217391968,0.49334139515544373
Degree,0.007263911422342062,0.06308093667030334,0.08522858336463221,0.7865592241287231,0.8868817419074108
Lumen,0.011816647835075855,0.07784076035022736,0.10870440577582795,0.5428471565246582,0.7367816206479761
