Parameter,MSE,MAE,RMSE,R²,R
Overall,0.057294849306344986,0.1548234224319458,0.2393634251642155,0.47949641942977905,0.6924567996848461
xCount,0.0036468077450990677,0.05035450682044029,0.06038880479939198,0.45867013931274414,0.6772519024061462
yCount,0.003695535473525524,0.0506506972014904,0.06079091604446773,0.4443238377571106,0.6665762055137512
Degree,0.007327521685510874,0.05461251363158226,0.08560094441950318,0.2751951813697815,0.5245904892101853
Lumen,0.02177528478205204,0.11850154399871826,0.14756451057775388,0.4408254623413086,0.6639468821685275
Rotation,0.2500291168689728,0.49999797344207764,0.5000291160212301,-0.00011718273162841797,0.0
