Parameter,MSE,MAE,RMSE,R²,R
Overall,0.05617744103074074,0.15199951827526093,0.23701780741273584,0.34416723251342773,0.5866576791566166
xCount,0.0034917087759822607,0.04880480468273163,0.05909068264948596,0.481692910194397,0.6940410003698607
yCount,0.0034724564757198095,0.04875965043902397,0.05892755277219486,0.4778669476509094,0.6912792110651885
Degree,0.006672009825706482,0.06429886817932129,0.08168237157249097,0.11154443025588989,0.33398267957468974
Lumen,0.017144825309515,0.0980684831738472,0.13093824998645354,0.557238757610321,0.7464842648109343
Rotation,0.25010618567466736,0.500065803527832,0.5001061744016638,-0.00042557716369628906,0.0
