Parameter,MSE,MAE,RMSE,R²,R
Overall,0.007518429309129715,0.06852825731039047,0.08670887676085831,0.8583747148513794,0.9264851401136337
xCount,0.003141912166029215,0.04648306220769882,0.05605276234075547,0.5282937288284302,0.7268381723798154
yCount,0.003209103364497423,0.047194790095090866,0.05664894848536399,0.5256595611572266,0.7250238348890514
Degree,0.013582656159996986,0.10048988461494446,0.11654465307339065,0.3451324701309204,0.587479761464955
Lumen,0.010140043683350086,0.07994531095027924,0.10069778390486102,0.2245931625366211,0.4739126106537165
