Parameter,MSE,MAE,RMSE,R²,R
Overall,0.007111927028745413,0.06407520174980164,0.084332241928846,0.6412794589996338,0.8007992626118194
xCount,0.004090329632163048,0.05474002659320831,0.06395568490887302,0.2378949522972107,0.4877447614246725
yCount,0.004204564727842808,0.055352214723825455,0.06484261506018096,0.2275424599647522,0.47701410876907213
Degree,0.00779655622318387,0.06614036858081818,0.08829810996382578,0.7709081768989563,0.8780137680577431
Lumen,0.012356257997453213,0.0800682082772255,0.11115870635021448,0.5219711661338806,0.722475720099908
