Parameter,MSE,MAE,RMSE,R²,R
Overall,0.006945001892745495,0.0627942755818367,0.08333667795602064,0.6496989727020264,0.8060390640049813
xCount,0.0040501076728105545,0.05422593280673027,0.06364045625866108,0.24538910388946533,0.4953676451782709
yCount,0.004133917391300201,0.05478793382644653,0.06429554721207528,0.24052178859710693,0.49043020767190404
Degree,0.007487973663955927,0.06455085426568985,0.08653307843799345,0.7799754738807678,0.8831622013428608
Lumen,0.012108007445931435,0.07761236280202866,0.1100363914617861,0.5315753221511841,0.7290921218551083
