Parameter,MSE,MAE,RMSE,R²,R
Overall,0.057222768664360046,0.1545582115650177,0.23921281041022877,0.4801512360572815,0.6929294596546474
xCount,0.0036051743663847446,0.04974241927266121,0.06004310423674599,0.46485012769699097,0.6817991842888864
yCount,0.003673761384561658,0.050232913345098495,0.06061156147602253,0.4475979208946228,0.6690275935225862
Degree,0.007268069311976433,0.05522866174578667,0.08525297245243964,0.28107595443725586,0.5301659687656837
Lumen,0.021486757323145866,0.11755501478910446,0.1465836188772329,0.4482346177101135,0.6695032619114814
Rotation,0.25008007884025574,0.5000321269035339,0.5000800724286619,-0.0003210306167602539,0.0
