Parameter,MSE,MAE,RMSE,R²,R
Overall,0.007390073500573635,0.06745943427085876,0.08596553670264401,0.8607925176620483,0.9277890480395036
xCount,0.00309250270947814,0.04570155590772629,0.05561027521491096,0.5357117056846619,0.7319232922135092
yCount,0.003131442703306675,0.04596420004963875,0.055959295057270646,0.5371386408805847,0.7328974286218943
Degree,0.013322606682777405,0.09885042905807495,0.1154235967329792,0.3576703667640686,0.5980554880310593
Lumen,0.010013739578425884,0.07932154089212418,0.10006867431132424,0.23425155878067017,0.4839954119417561
